Job ID: 10490560
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id InvertedPendulum-v4   --run-id 10490560   --seed 5   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=945, episode=127, episodic_return=3.000
global_step=949, episode=128, episodic_return=3.000
global_step=955, episode=129, episodic_return=5.000
global_step=967, episode=130, episodic_return=11.000
global_step=972, episode=131, episodic_return=4.000
global_step=989, episode=132, episodic_return=16.000
global_step=994, episode=133, episodic_return=4.000
global_step=998, episode=134, episodic_return=3.000
global_step=1005, episode=135, episodic_return=6.000
global_step=1009, episode=136, episodic_return=3.000
global_step=1014, episode=137, episodic_return=4.000
global_step=1019, episode=138, episodic_return=4.000
global_step=1025, episode=139, episodic_return=5.000
global_step=1030, episode=140, episodic_return=4.000
global_step=1040, episode=141, episodic_return=9.000
global_step=1049, episode=142, episodic_return=8.000
global_step=1060, episode=143, episodic_return=10.000
global_step=1064, episode=144, episodic_return=3.000
global_step=1073, episode=145, episodic_return=8.000
global_step=1077, episode=146, episodic_return=3.000
global_step=1081, episode=147, episodic_return=3.000
global_step=1092, episode=148, episodic_return=10.000
global_step=1096, episode=149, episodic_return=3.000
global_step=1100, episode=150, episodic_return=3.000
global_step=1106, episode=151, episodic_return=5.000
global_step=1110, episode=152, episodic_return=3.000
global_step=1120, episode=153, episodic_return=9.000
global_step=1135, episode=154, episodic_return=14.000
global_step=1140, episode=155, episodic_return=4.000
global_step=1145, episode=156, episodic_return=4.000
global_step=1149, episode=157, episodic_return=3.000
global_step=1165, episode=158, episodic_return=15.000
global_step=1174, episode=159, episodic_return=8.000
global_step=1179, episode=160, episodic_return=4.000
global_step=1185, episode=161, episodic_return=5.000
global_step=1193, episode=162, episodic_return=7.000
global_step=1200, episode=163, episodic_return=6.000
global_step=1206, episode=164, episodic_return=5.000
global_step=1212, episode=165, episodic_return=5.000
global_step=1220, episode=166, episodic_return=7.000
global_step=1234, episode=167, episodic_return=13.000
global_step=1256, episode=168, episodic_return=21.000
global_step=1261, episode=169, episodic_return=4.000
global_step=1267, episode=170, episodic_return=5.000
global_step=1272, episode=171, episodic_return=4.000
global_step=1282, episode=172, episodic_return=9.000
global_step=1289, episode=173, episodic_return=6.000
global_step=1298, episode=174, episodic_return=8.000
global_step=1303, episode=175, episodic_return=4.000
global_step=1310, episode=176, episodic_return=6.000
global_step=1319, episode=177, episodic_return=8.000
global_step=1329, episode=178, episodic_return=9.000
global_step=1338, episode=179, episodic_return=8.000
global_step=1346, episode=180, episodic_return=7.000
global_step=1353, episode=181, episodic_return=6.000
global_step=1357, episode=182, episodic_return=3.000
global_step=1362, episode=183, episodic_return=4.000
global_step=1369, episode=184, episodic_return=6.000
global_step=1384, episode=185, episodic_return=14.000
global_step=1390, episode=186, episodic_return=5.000
global_step=1394, episode=187, episodic_return=3.000
global_step=1408, episode=188, episodic_return=13.000
global_step=1412, episode=189, episodic_return=3.000
global_step=1417, episode=190, episodic_return=4.000
global_step=1421, episode=191, episodic_return=3.000
global_step=1425, episode=192, episodic_return=3.000
global_step=1429, episode=193, episodic_return=3.000
global_step=1442, episode=194, episodic_return=12.000
global_step=1448, episode=195, episodic_return=5.000
global_step=1458, episode=196, episodic_return=9.000
global_step=1462, episode=197, episodic_return=3.000
global_step=1467, episode=198, episodic_return=4.000
global_step=1472, episode=199, episodic_return=4.000
global_step=1478, episode=200, episodic_return=5.000
global_step=1483, episode=201, episodic_return=4.000
global_step=1494, episode=202, episodic_return=10.000
global_step=1499, episode=203, episodic_return=4.000
global_step=1504, episode=204, episodic_return=4.000
global_step=1522, episode=205, episodic_return=17.000
global_step=1526, episode=206, episodic_return=3.000
global_step=1533, episode=207, episodic_return=6.000
global_step=1538, episode=208, episodic_return=4.000
global_step=1542, episode=209, episodic_return=3.000
global_step=1547, episode=210, episodic_return=4.000
global_step=1551, episode=211, episodic_return=3.000
global_step=1555, episode=212, episodic_return=3.000
global_step=1566, episode=213, episodic_return=10.000
global_step=1571, episode=214, episodic_return=4.000
global_step=1578, episode=215, episodic_return=6.000
global_step=1588, episode=216, episodic_return=9.000
global_step=1604, episode=217, episodic_return=15.000
global_step=1608, episode=218, episodic_return=3.000
global_step=1612, episode=219, episodic_return=3.000
global_step=1627, episode=220, episodic_return=14.000
global_step=1632, episode=221, episodic_return=4.000
global_step=1649, episode=222, episodic_return=16.000
global_step=1657, episode=223, episodic_return=7.000
global_step=1662, episode=224, episodic_return=4.000
global_step=1666, episode=225, episodic_return=3.000
global_step=1676, episode=226, episodic_return=9.000
global_step=1680, episode=227, episodic_return=3.000
global_step=1685, episode=228, episodic_return=4.000
global_step=1691, episode=229, episodic_return=5.000
global_step=1697, episode=230, episodic_return=5.000
