Job ID: 10484947
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id Hopper-v4   --run-id 10484947   --seed 1   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=2840, episode=122, episodic_return=6.791
global_step=2873, episode=123, episodic_return=39.061
global_step=2887, episode=124, episodic_return=9.576
global_step=2899, episode=125, episodic_return=6.426
global_step=2913, episode=126, episodic_return=9.455
global_step=2932, episode=127, episodic_return=16.533
global_step=2978, episode=128, episodic_return=36.335
global_step=3032, episode=129, episodic_return=74.229
global_step=3047, episode=130, episodic_return=10.084
global_step=3062, episode=131, episodic_return=4.952
global_step=3093, episode=132, episodic_return=22.977
global_step=3107, episode=133, episodic_return=9.847
global_step=3130, episode=134, episodic_return=13.438
global_step=3144, episode=135, episodic_return=11.112
global_step=3175, episode=136, episodic_return=38.892
global_step=3196, episode=137, episodic_return=10.126
global_step=3233, episode=138, episodic_return=31.428
global_step=3251, episode=139, episodic_return=11.849
global_step=3276, episode=140, episodic_return=25.666
global_step=3290, episode=141, episodic_return=9.712
global_step=3302, episode=142, episodic_return=6.546
global_step=3315, episode=143, episodic_return=9.031
global_step=3325, episode=144, episodic_return=6.198
global_step=3352, episode=145, episodic_return=8.082
global_step=3388, episode=146, episodic_return=43.289
global_step=3410, episode=147, episodic_return=15.996
global_step=3436, episode=148, episodic_return=20.957
global_step=3452, episode=149, episodic_return=10.717
global_step=3484, episode=150, episodic_return=19.918
global_step=3503, episode=151, episodic_return=16.163
global_step=3536, episode=152, episodic_return=45.593
global_step=3568, episode=153, episodic_return=25.298
global_step=3599, episode=154, episodic_return=28.091
global_step=3614, episode=155, episodic_return=11.721
global_step=3628, episode=156, episodic_return=9.781
global_step=3639, episode=157, episodic_return=8.423
global_step=3661, episode=158, episodic_return=15.393
global_step=3676, episode=159, episodic_return=11.705
global_step=3702, episode=160, episodic_return=16.434
global_step=3736, episode=161, episodic_return=7.380
global_step=3767, episode=162, episodic_return=17.800
global_step=3811, episode=163, episodic_return=50.284
global_step=3833, episode=164, episodic_return=18.340
global_step=3844, episode=165, episodic_return=7.513
global_step=3886, episode=166, episodic_return=31.671
global_step=3898, episode=167, episodic_return=9.005
global_step=3956, episode=168, episodic_return=43.586
global_step=3980, episode=169, episodic_return=14.103
global_step=3998, episode=170, episodic_return=18.297
global_step=4030, episode=171, episodic_return=33.848
global_step=4047, episode=172, episodic_return=12.137
global_step=4062, episode=173, episodic_return=9.548
global_step=4075, episode=174, episodic_return=9.831
global_step=4093, episode=175, episodic_return=13.422
global_step=4107, episode=176, episodic_return=8.660
global_step=4121, episode=177, episodic_return=8.876
global_step=4147, episode=178, episodic_return=27.929
global_step=4162, episode=179, episodic_return=8.510
global_step=4181, episode=180, episodic_return=16.737
global_step=4197, episode=181, episodic_return=14.725
global_step=4256, episode=182, episodic_return=72.294
global_step=4272, episode=183, episodic_return=11.927
global_step=4283, episode=184, episodic_return=7.625
global_step=4296, episode=185, episodic_return=8.503
global_step=4312, episode=186, episodic_return=12.032
global_step=4336, episode=187, episodic_return=16.205
global_step=4356, episode=188, episodic_return=9.704
global_step=4368, episode=189, episodic_return=9.654
global_step=4383, episode=190, episodic_return=9.698
global_step=4416, episode=191, episodic_return=32.059
global_step=4429, episode=192, episodic_return=10.755
global_step=4460, episode=193, episodic_return=23.376
global_step=4483, episode=194, episodic_return=19.245
global_step=4515, episode=195, episodic_return=15.969
global_step=4528, episode=196, episodic_return=8.725
global_step=4555, episode=197, episodic_return=13.674
global_step=4567, episode=198, episodic_return=6.308
global_step=4579, episode=199, episodic_return=8.362
global_step=4593, episode=200, episodic_return=8.565
global_step=4628, episode=201, episodic_return=28.622
global_step=4640, episode=202, episodic_return=9.124
global_step=4664, episode=203, episodic_return=14.437
global_step=4683, episode=204, episodic_return=9.446
global_step=4696, episode=205, episodic_return=8.674
global_step=4707, episode=206, episodic_return=6.940
global_step=4724, episode=207, episodic_return=6.869
global_step=4751, episode=208, episodic_return=13.877
global_step=4761, episode=209, episodic_return=6.833
global_step=4784, episode=210, episodic_return=19.159
global_step=4808, episode=211, episodic_return=11.522
global_step=4826, episode=212, episodic_return=15.824
global_step=4851, episode=213, episodic_return=16.882
global_step=4875, episode=214, episodic_return=23.992
global_step=4903, episode=215, episodic_return=29.109
global_step=4927, episode=216, episodic_return=12.669
global_step=4947, episode=217, episodic_return=16.714
global_step=4968, episode=218, episodic_return=17.326
global_step=4991, episode=219, episodic_return=17.330
global_step=5005, episode=220, episodic_return=10.252
global_step=5029, episode=221, episodic_return=15.638
global_step=5065, episode=222, episodic_return=11.856
global_step=5080, episode=223, episodic_return=8.327
global_step=5098, episode=224, episodic_return=5.826
global_step=5128, episode=225, episodic_return=38.496
global_step=5147, episode=226, episodic_return=12.676
global_step=5170, episode=227, episodic_return=4.548
global_step=5188, episode=228, episodic_return=12.966
global_step=5276, episode=229, episodic_return=105.798
global_step=5309, episode=230, episodic_return=36.354
global_step=5348, episode=231, episodic_return=30.805
global_step=5373, episode=232, episodic_return=28.159
global_step=5417, episode=233, episodic_return=71.182
global_step=5529, episode=234, episodic_return=82.727
global_step=5622, episode=235, episodic_return=163.126
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-5622_episode-235.mp4
    -> New best: episodic_return=163.126
global_step=5658, episode=236, episodic_return=56.582
global_step=5715, episode=237, episodic_return=103.097
global_step=5855, episode=238, episodic_return=188.015
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-5855_episode-238.mp4
    -> New best: episodic_return=188.015
global_step=5942, episode=239, episodic_return=135.535
global_step=5986, episode=240, episodic_return=74.151
global_step=6040, episode=241, episodic_return=87.534
global_step=6129, episode=242, episodic_return=192.768
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-6129_episode-242.mp4
    -> New best: episodic_return=192.768
global_step=6220, episode=243, episodic_return=182.318
global_step=6310, episode=244, episodic_return=201.494
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-6310_episode-244.mp4
    -> New best: episodic_return=201.494
global_step=6398, episode=245, episodic_return=194.552
global_step=6491, episode=246, episodic_return=206.098
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-6491_episode-246.mp4
    -> New best: episodic_return=206.098
global_step=6584, episode=247, episodic_return=197.086
global_step=6676, episode=248, episodic_return=192.034
global_step=6766, episode=249, episodic_return=200.217
global_step=6860, episode=250, episodic_return=207.404
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-6860_episode-250.mp4
    -> New best: episodic_return=207.404
global_step=6955, episode=251, episodic_return=188.207
global_step=7049, episode=252, episodic_return=183.118
global_step=7146, episode=253, episodic_return=196.351
global_step=7242, episode=254, episodic_return=195.888
global_step=7340, episode=255, episodic_return=228.194
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-7340_episode-255.mp4
    -> New best: episodic_return=228.194
global_step=7429, episode=256, episodic_return=198.405
global_step=7517, episode=257, episodic_return=195.898
global_step=7610, episode=258, episodic_return=198.739
global_step=7701, episode=259, episodic_return=201.029
global_step=7789, episode=260, episodic_return=195.080
global_step=7880, episode=261, episodic_return=203.423
global_step=7968, episode=262, episodic_return=190.683
global_step=8054, episode=263, episodic_return=171.121
global_step=8146, episode=264, episodic_return=206.859
global_step=8237, episode=265, episodic_return=204.411
global_step=8329, episode=266, episodic_return=207.235
global_step=8422, episode=267, episodic_return=209.765
global_step=8516, episode=268, episodic_return=213.551
global_step=8614, episode=269, episodic_return=225.117
global_step=8704, episode=270, episodic_return=204.054
global_step=8800, episode=271, episodic_return=219.087
global_step=8896, episode=272, episodic_return=219.277
global_step=8996, episode=273, episodic_return=231.440
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-8996_episode-273.mp4
    -> New best: episodic_return=231.440
global_step=9090, episode=274, episodic_return=213.382
global_step=9187, episode=275, episodic_return=218.694
global_step=9287, episode=276, episodic_return=231.289
global_step=9386, episode=277, episodic_return=222.900
global_step=9492, episode=278, episodic_return=244.028
